Dev,Name,Address,City,GP_COMPLY,Z_COMPLY,TOD,PLAN_AREA,DU,MKT,AFH,SB35,SB330,AB1763,AB2162,AB2345,AB2372,AB3194,Submitted,Approved
RCD,Sango Court,355 Sango Court,Milpitas,Y,Y,Y,N,102,1,101,,,,,,,,5/23/18,4/7/21
SummerHill,Monte Vista,1001 South Main Street,Milpitas,Y,Y,N,Y,302,83,213,,,,,,,,,6/12/18
UHC,Crossings on Monterey,16800 Monterey Road,Morgan Hill,Y,Y,N,N,39,0,39,,,,,,,,6/1/18,8/30/18
FortBay,777 W Middlefield,777 W Middlefield,Mountain View,Y,Y,Y,Y,716,573,36,,,,,,,,5/22/15,5/21/19
MidPen,Shorebreeze II,460 N Shoreline Blvd,Mountain View,Y,Y,N,Y,62,0,62,,,,,,,,5/10/19,7/10/20
Palo Alto Housing,Luna Visa,950 W El Camino,Mountain View,Y,N,Y,Y,71,0,71,,,,,,,,2/5/14,4/30/19
Windy Hills,Windy Hills,2755 El Camino Real,Palo Alto,Y,Y,N,Y,57,57,0,,,,,,,,6/28/16,4/26/21
Palo Alto Housing,Wilton Court,3705 El Camino Real,Palo Alto,Y,Y,N,Y,61,0,61,,,,,,,,5/30/17,2/4/19
Explore Real Estate (Ted O'Hanlon),788 San Antonio,788 San Antonio,Palo Alto,N,N,N,N,102,86,16,,,,,,,,6/26/18,2/4/21
Sobrato,Frys,340 Portage Ave,Palo Alto,Y,Y,N,Y,85,85,0,Y,Y,,,Y,,Y,11/18/20,4/12/21
Mercy,Tahanan,833 Bryant,San Francisco,Y,Y,Y,Y,145,1,144,Y,,,,Y,,,2/3/19,7/23/19
MidPen,Baker Park,4748 Campbell Ave,San Jose,Y,N,N,N,98,0,98,,,,,,,,4/15/92,10/1/92
SJW Land Co,Diridon - SJ Water Co,402 W SANTA CLARA ST ,San Jose,N,N,Y,N,325,325,0,,,,,,,,5/9/02,8/26/05
URONE LLC,Washington/Spartan Keyes,1101 S 1ST ST ,San Jose,Y,N,Y,Y,351,316,35,,,,,,,,4/9/04,6/26/08
Affirmed,Fairways,305 San Antonio Court,San Jose,Y,N,N,N,84,2,84,,,,,,,,10/24/05,7/12/06
FCH,Second Street Studios,1144 South 2nd Street,San Jose,Y,N,N,N,135,1,134,,,,,Y,,,10/23/07,11/14/08
MidPen,Donner Lofts,158 E St John St,San Jose,Y,N,Y,Y,102,0,102,,,,,,,,2/11/09,10/9/09
Charities,Met North,2122 Monterey Rd,San Jose,Y,N,N,N,71,1,70,,,,,,,,3/14/11,8/19/11
Charities,Met South,2128 Monterey Rd,San Jose,Y,N,N,N,31,1,30,,,,,,,,3/14/11,8/19/11
First Community Housing,Leigh Ave St Apt,1690 SW Expressway,San Jose,Y,N,Y,N,64,0,64,,,,,,,,6/9/11,3/18/15
First Community Housing,Iamesi Village,201 Bassett St,San Jose,N,Y,N,Y,135,1,134,,,,,,,,12/14/11,7/23/14
,Virginia Terrace,9750 TRACT ,San Jose,Y,Y,N,Y,238,238,0,,,,,,,,9/13/12,4/28/13
Ho Year,William,346 E WILLIAM ST ,San Jose,Y,N,N,N,28,28,0,,,,,,,,4/23/13,7/31/15
FCH,Leigh Ave Sr Apt,1690 Southwest Expressway,San Jose,Y,N,Y,Y,64,0,64,,,,,Y,,,12/8/14,3/18/15
First Community Housing,Curtner Studios,701 Curtner,San Jose,Y,Y,N,N,180,1,180,,,,,,,,2/5/15,2/27/19
SJ Water Co,Diridon - SJ Water Co,402 W SANTA CLARA ST ,San Jose,Y,Y,Y,Y,325,325,0,,,,,,,,9/24/15,6/29/16
